Place,CarNum,Team,Penalty,CostScore,PresentationScore,DesignScore,AccelerationScore,SkidPadScore,AutocrossScore,EnduranceScore,EfficiencyScore,TotalScore
34,88,Ecole De Technologie Superieure,,61.3,52.3,138,88.1,52.7,100.9,4,,497.3
35,5,Michigan State Univ,,69.3,67.2,100,98.9,54.5,97.6,5,,492.5
36,102,Duke Univ,-10,61.0,49.9,70,66.7,39.6,51.5,132.9,26.5,488.0
37,38,Rensselaer Polytechnic Inst,,69.9,57.5,70,65.9,21.8,44.2,89.2,63.4,481.9
38,55,Tennessee Tech Univ,,93.7,52.8,55,19.3,33.6,45.9,108.1,70.3,478.8
39,84,Univ of Toronto,,70.9,39.4,100,60.9,39.3,79.3,11,64.5,465.2
40,9,Univ of Florida,,63.3,63.6,100,91.0,41.6,97.9,5,,462.4
41,110,Univ of Manitoba,,62.7,55.3,85,34.6,12.2,53.2,99.6,52.0,454.5
42,115,Universidad Simon Bolivar,,77.1,44.5,70,65.1,19.3,51.6,78.4,48.1,454.0
43,65,Univ of Akron,,68.7,67.6,100,69.9,34.9,80.5,11,,432.6
44,21,Brown Univ,,66.3,43.4,100,90.5,3.5,28.7,48,49.1,429.7
45,72,Saginaw Valley State Univ,,61.1,47.3,35,97.2,45.4,55.7,15,67.0,423.8
46,123,Queen's Univ - Ontario Canada,,67.1,61.9,85,39.1,28.8,42.5,99.3,,423.6
47,42,Western University,,66.4,66.6,100,62.5,40.3,80.7,7,,423.4
48,40,Univ of North Florida,,63.4,34.4,55,56.8,34.4,61.2,118.1,,423.2
49,62,Cooper Union,,62.2,65.7,85,58.9,3.5,32.0,43,73.1,423.1
50,113,Central Michigan Univ,,80.6,30.0,45,76.4,12.0,17.7,76.7,68.5,406.8
51,25,Michigan Tech Univ,,61.7,61.8,55,69.8,24.0,51.5,28,51.8,403.5
52,69,Univ of Pittsburgh - Pittsburgh,,67.1,56.9,100,69.0,40.3,61.5,6,,400.8
53,79,Univ of New Hampshire,,67.1,31.1,45,51.2,25.6,30.0,54.5,94.6,399.0
54,50,Rutgers Univ,,65.0,57.9,100,54.5,37.9,66.2,11,,392.4
55,23,Univ of Missouri,,68.2,38.0,70,81.3,31.2,73.5,25,,387.3
56,124,North Carolina State Univ - Raleigh,,71.2,42.1,85,74.1,47.1,62.5,2,,383.9
57,51,Carleton Univ,,69.9,48.4,70,77.3,56.9,47.8,11,,381.2
58,96,Universite Du Quebec a Trois-Rivieres,,72.9,68.2,25,67.5,40.0,73.3,18,,364.9
59,103,Univ of Central Florida,,54.7,42.8,100,41.0,53.1,48.4,18,,358.1
60,20,Minnesota State University - Mankato,,59.0,52.9,100,51.8,40.3,49.9,1,,354.9
61,41,Lawrence Technological Univ,,61.9,51.1,70,61.8,30.7,39.5,39,,354.0
62,98,Univ of Puerto Rico-Mayaquez,,53.7,45.2,85,40.3,10.8,47.2,12,58.6,352.8
63,122,Penn State Univ - University Park,,71.5,52.4,70,63.2,31.8,39.6,8,,336.5
64,39,Western Michigan Univ,,68.4,33.2,70,70.8,23.9,65.4,3,,334.5
65,46,US Naval Academy,,64.6,62.3,70,71.3,10.0,40.4,11,,329.6
66,33,Univ of Maryland - College Park,,61.9,55.9,85,55.2,20.7,41.7,8,,328.4
67,59,Purdue Univ - W Lafayette,,53.8,52.2,100,76.5,16.4,14.5,11,,324.4
68,104,Univ of Evansville,-10,51.1,24.7,55,15.0,23.7,12.9,74.2,77.2,323.6
69,29,Washington Univ - St Louis,,62.9,33.1,70,78.5,15.6,35.7,25,,320.8
70,73,Embry-Riddle Aero Univ - Daytona Beach,,61.5,43.9,70,39.9,26.9,67.4,11,,320.5
71,108,Washington State Univ,,67.0,35.7,55,4.5,7.0,20.7,43,73.2,306.4
72,71,Temple Univ,,69.2,38.6,85,60.8,3.5,14.7,25,,296.8
73,94,Stevens Inst of Tech,,66.3,45.6,55,46.0,19.8,36.9,25,,294.7
74,76,Univ of Hartford,,74.9,25.4,55,32.3,27.9,39.9,25,,280.5
75,93,US Air Force Academy,-50,65.5,43.3,85,46.6,15.0,45.7,25,,276.1
76,35,York College of Pennsylvania,,67.0,30.2,70,32.9,16.2,32.6,25,,274.0
77,34,Grand Valley State Univ,,47.0,42.3,70,54.3,7.1,39.7,11,,271.3
78,19,Mississippi State Univ,,69.0,55.1,45,45.6,3.5,26.1,25,,269.4
79,44,Univ of Guelph,,69.9,43.2,45,60.7,10.8,25.8,7,,262.4
80,27,South Dakota School of Mines & Tech,,58.8,26.3,70,32.4,9.8,52.1,11,,260.5
81,100,Univ of British Columbia - Okangan,,62.1,48.6,55,49.3,3.5,8.9,20,,247.3
82,52,Univ of Minnesota-Duluth,,52.0,36.4,45,44.8,21.2,44.6,,,244.0
83,86,Indiana Univ Purdue Univ Indianapolis,-60,47.6,43.2,70,55.1,10.9,62.5,11,,240.4
84,114,Florida Inst of Tech,,62.3,28.3,55,58.2,3.5,6.5,25,,238.8
85,109,Clemson Univ,,55.2,56.8,45,40.3,9.9,18.9,8,,234.2
86,85,Univ of Kentucky,,63.4,40.0,45,35.7,,8.7,25,,217.8
87,87,West Virginia Univ,,70.8,61.9,45,10.7,9.1,12.3,,,209.7
88,112,Ferris State University,,71.0,48.1,45,4.5,4.2,6.5,25,,204.3
89,24,Purdue Univ - Northwest,,66.4,26.8,70,4.5,3.5,6.5,25,,202.7
90,70,Universidad Metropolitana,,62.2,44.4,45,,12.2,6.5,25,,195.2
91,61,Northwestern Univ,,62.7,46.4,70,,,,11,,190.1
92,92,Kansas State Univ,-10,57.1,27.0,70,31.6,3.5,6.5,,,185.7
93,125,Univ of Nebraska - Lincoln,,62.4,35.6,85,,,,,,182.9
94,120,Oakland University,,62.3,38.3,55,,,,25,,180.6
95,53,Univ of Toledo,,66.7,37.4,75,,,,,,179.2
96,30,Lehigh Univ,,55.0,38.2,55,4.5,3.5,6.5,11,,173.7
97,91,Saint Louis Univ,,77.4,21.9,55,4.5,,,14,,172.8
98,106,Universidad Autonoma Estado Mexico,,80.5,43.9,45,,,,,,169.4
99,101,North Dakota State Univ,,64.3,22.9,45,28.1,3.5,,,,163.7
100,31,Univ of Louisiana - Lafayette,,70.5,30.6,35,4.5,3.5,6.5,11,,161.6
101,18,Univ of Illinois - Chicago,,70.6,36.6,40,,3.5,10.5,,,161.2
102,36,Colorado Mesa University,,68.2,42.4,45,,,,,,155.6
103,56,Univ of South Florida,,54.1,38.2,55,,,,,,147.3
104,117,Texas Tech Univ,,45.2,49.1,45,,,,,,139.3
105,45,St Cloud State Univ,,64.2,29.7,45,,,,,,138.9
106,89,Lakehead Univ,-50,60.4,43.1,70,,,,9,,132.4
107,64,Penn State Univ - Harrisburg,,59.2,27.7,30,,,,,,116.8
108,121,Texas State University-San Marcos,-10,54.6,22.3,,,,,,,66.9
109,90,Univ of Massachusetts - Lowell,-50,55.2,19.7,30,,,,,,54.9
,75,Univ of New Brunswick,,,13.8,,,,,,,
,8,Univ of Michigan - Dearborn,,,,,,,,,,withdrawn
,17,Auburn Univ,,,,,,,,,,withdrawn
,26,Columbia Univ,,,,,,,,,,withdrawn
,43,Georgia Institute of Technology,,,,,,,,,,withdrawn
,63,McGill Univ,,,,,,,,,,withdrawn
,66,Dalhousie Univ,,,,,,,,,,withdrawn
,107,Universidad Central de Venezuela,,,,,,,,,,withdrawn
,116,South Dakota State Univ,,,,,,,,,,withdrawn
,118,Bradley Univ,,,,,,,,,,withdrawn
,128,Cegep du Vieux - Montreal,,,,,,,,,,withdrawn
