Place,CarNum,Team,Run1_Time,Run1_Cones,Run1_OffCourse,Run1_AdjTime,Run2_Time,Run2_Cones,Run2_OffCourse,Run2_AdjTime,Run3_Time,Run3_Cones,Run3_OffCourse,Run3_AdjTime,Run4_Time,Run4_Cones,Run4_OffCourse,Run4_AdjTime,BestTime,Penalty,Score
47,44,Colorado State University,59.618,,,59.618,57.076,,,57.076,54.816,,1,74.816,53.157,,1,73.157,57.076,,70.16
48,77,Univ of North Florida,58.499,,1,78.499,82.536,1,1,104.536,60.238,,,60.238,57.586,,,57.586,57.586,,67.26
49,39,Univ of Central Florida,72.169,,,72.169,57.602,,,57.602,,,,DNA,,,,DNA,57.602,,67.17
50,35,Univ of Calif - Irvine,58.878,,,58.878,57.905,,,57.905,,1,,,,,,,57.905,,65.48
51,117,Oklahoma State Univ,,,,,63.817,,,63.817,58.128,,,58.128,58.017,,,58.017,58.017,,64.86
52,70,US Naval Academy,58.260,,,58.260,57.165,,1,77.165,60.631,,,60.631,58.236,,,58.236,58.236,,63.64
53,115,Univ of Illinois - Chicago,64.749,1,,66.749,59.019,1,,61.019,61.373,,,61.373,58.241,,,58.241,58.241,,63.62
54,73,Washington State Univ,75.198,,,75.198,68.677,,,68.677,62.636,1,,64.636,58.580,,,58.580,58.580,,61.76
55,50,Clarkson University,58.383,,1,78.383,54.854,,1,74.854,60.662,,,60.662,58.733,,,58.733,58.733,,60.93
56,82,South Dakota State Univ,58.790,,,58.790,,,,DNA,,,,DNA,,,,DNA,58.790,,60.63
57,107,Univ of Hartford,59.922,,,59.922,58.801,,,58.801,65.878,,,65.878,63.013,,,63.013,58.801,,60.56
58,119,Kennesaw State University,58.888,,,58.888,64.383,,,64.383,69.107,2,,73.107,61.398,,,61.398,58.888,,60.1
59,96,Univ of Toledo,59.871,,,59.871,59.090,,,59.090,63.185,1,,65.185,62.199,1,,64.199,59.090,,59.01
60,103,Univ of Colorado - Boulder,65.572,,,65.572,59.446,,,59.446,57.199,1,,59.199,,,,DNA,59.199,,58.43
61,54,Tennessee Tech Univ,61.246,,1,81.246,59.236,,,59.236,106.271,,,106.271,68.825,,,68.825,59.236,,58.24
62,125,Southern Illinois Univ - Carbondale,65.099,,1,85.099,62.300,,,62.300,65.382,,1,85.382,59.744,,,59.744,59.744,,55.56
63,69,Lawrence Technological Univ,59.906,,,59.906,57.791,1,,59.791,,,,,,,,DNA,59.791,,55.31
64,24,Univ of British Columbia,58.116,1,,60.116,61.968,1,,63.968,61.920,,,61.920,,,,DNA,60.116,,53.63
65,36,Saginaw Valley State Univ,60.151,,,60.151,60.877,,,60.877,68.616,1,,70.616,61.044,,,61.044,60.151,,53.44
66,88,Univ of Kentucky,91.955,,,91.955,61.894,,1,81.894,60.443,,,60.443,54.979,,1,74.979,60.443,,51.95
67,79,Florida Atlantic Univ,58.407,2,,62.407,56.542,3,,62.542,63.900,,,63.900,62.088,1,,64.088,62.407,,42.23
68,64,Grand Valley State Univ,66.422,,,66.422,64.539,,,64.539,66.312,,,66.312,62.438,,,62.438,62.438,,42.08
69,66,West Virginia Univ,62.942,,,62.942,62.890,1,,64.890,,,,DNA,,,,DNA,62.942,,39.69
70,120,Univ of Saskatchewan,63.409,,,63.409,64.989,,,64.989,,,,DNA,,,,DNA,63.409,,37.5
71,132,Wichita State Univ,79.519,,1,99.519,65.117,,,65.117,88.204,2,2,132.204,71.610,2,1,95.610,65.117,,29.78
72,86,Univ of Delaware,72.239,,1,92.239,65.827,,,65.827,82.763,,,82.763,68.835,,,68.835,65.827,,26.69
73,57,Florida International Univ,89.231,,3,149.231,61.105,,1,81.105,66.042,,,66.042,82.439,,1,102.439,66.042,,25.77
74,101,Univ of Manitoba,52.200,,1,72.200,50.942,,1,70.942,,,,DNA,,,,DNA,70.942,,6.5
74,89,California State Poly Univ - Pomona,54.803,,1,74.803,52.604,,1,72.604,56.518,,1,76.518,53.157,,1,73.157,72.604,,6.5
74,99,Colorado Mesa University,79.619,,1,99.619,61.716,,1,81.716,72.405,1,,74.405,78.614,,1,98.614,74.405,,6.5
74,100,Univ of Arizona,77.848,,,77.848,75.377,,,75.377,84.632,,2,124.632,76.627,,1,96.627,75.377,,6.5
74,97,Wayne State Univ,82.265,,2,122.265,70.340,,1,90.340,80.563,,2,120.563,58.784,,1,78.784,78.784,,6.5
74,116,North Dakota State Univ,84.070,,,84.070,79.140,,,79.140,,,,DNA,,,,DNA,79.140,,6.5
,25,Instituto Tecnologico de Chihuahua,,,,,,,,DNA,,,,DNA,,,,DNA,DNA,,
,26,Univ of Texas - Dallas,,,,,,,,,,,,DNA,,,,DNA,DNA,,
,27,Kettering Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,33,Lakehead Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,37,Old Dominion Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,40,Montana State Univ - Bozeman,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,41,Pellissippi State Community College,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,42,Universidad Metropolitana,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,46,Univ of Oklahoma,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,47,Oregon Inst of Tech,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,49,Arizona State Univ - Tempe,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,53,Univ of Houston - Houston,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,55,Carleton Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,62,York College of Pennsylvania,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,63,Drexel Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,67,California State Univ - Fullerton,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,72,Northern Arizona Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,78,Missouri State University,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,83,Penn State Univ - Harrisburg,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,87,Univ of Ottawa,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,91,Univ of the Pacific,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,95,Purdue Univ - Northwest,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,105,Northern Illinois Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,109,UP Aguascalientes,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,111,Universidad Panamericana Sede Guadalajar,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,112,Universidad Autonoma Estado Mexico,,,,,,8,4,,,,,DNA,,,,DNA,DNA,,
,113,Grand Canyon University,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,114,Southern Illinois Univ - Edwardville,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,121,Univ of Colorado - Colorado Springs,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,122,Trinity Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,123,Univ of Massachusetts - Lowell,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,126,ITESM - Campus Cuernavaca,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,127,Univ of Minnesota-Duluth,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,129,California State Univ - Chico,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,130,Vanderbilt Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,133,New York University,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,134,Instituto Tecnologico de Estudios Superi,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,135,Alabama A & M Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,136,Syracuse Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,141,St Cloud State Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,142,Univ of Maine,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,144,Calvin College,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
