Place,CarNum,Team,Penalty,CostScore,PresentationScore,DesignScore,AccelerationScore,SkidPadScore,AutocrossScore,EnduranceScore,EfficiencyScore,TotalScore
1,19,Univ of Illinois - Urbana Champaign,,70.7,73.7,150,93.4,57.8,119.1,221.7,76.9,863.3
2,131,Wroclaw University of Technology,,80.5,75.0,138,94.3,60.7,111.7,171.8,55.8,787.8
3,88,The Ohio State University,,72.0,50.9,100,81.9,58.9,109.7,244.5,68.4,786.4
4,80,Univ of Calif - San Diego,,70.6,41.7,80,79.6,55.7,93.2,253.5,96.5,770.9
5,115,Univ of Texas - Arlington,,51.3,58.8,60,78.0,34.0,125.0,275.0,78.6,760.7
6,14,California Polytechnic State Univ-SLO,,73.6,64.3,113,61.9,29.9,101.2,219.2,85.2,748.2
7,82,Georgia Institute of Technology,,62.8,70.6,100,80.9,36.1,90.3,216.5,84.3,741.6
8,33,Purdue Univ - W Lafayette,,65.7,64.7,126,75.8,53.1,97.0,257.4,,739.7
9,55,Univ of North Carolina - Charlotte,,54.9,50.9,95,63.5,25.6,89.2,254.8,99.2,733.1
10,32,Univ of Calif - Los Angeles,,79.0,36.7,80,69.7,42.3,98.9,242.9,81.0,730.5
11,124,Univ of Connecticut,,54.9,57.4,80,100.0,52.8,112.9,201.7,57.3,717.1
12,99,Univ of Akron,,77.6,50.6,110,46.7,66.8,89.9,163.0,95.3,699.9
13,72,Univ of Cincinnati,,77.9,41.8,80,78.0,31.0,112.7,179.3,92.0,692.7
14,144,Kansas State Univ,,70.5,54.3,60,75.0,40.2,103.3,227.7,53.9,684.9
15,34,California State Univ - Northridge,,77.4,33.1,100,76.2,31.4,85.2,197.4,83.7,684.5
16,117,Missouri University of Science and Tech,,59.7,39.8,75,84.5,75.0,84.5,168.1,46.5,633.1
17,18,Univ of Missouri,,64.5,44.1,70,53.6,70.1,96.2,221.6,,620.1
18,17,Univ of Victoria,,72.1,45.4,100,67.8,25.0,81.9,157.5,60.0,609.7
19,53,Michigan State University,,72.3,63.0,113,64.6,13.4,94.5,184.7,,605.5
20,21,Univ of Colorado - Boulder,,53.5,52.4,80,80.6,19.0,72.3,127.3,92.9,577.8
21,83,Western Michigan Univ,-40,37.0,46.0,60,67.5,37.6,102.3,174.9,90.7,575.9
22,71,Oklahoma State Univ,,62.4,53.5,60,68.3,36.4,87.2,158.2,47.5,573.5
23,103,Univ of Calif - Berkeley,,66.0,44.7,105,56.1,47.6,122.5,18,93.1,553.0
24,94,Temple Univ,,68.7,38.1,60,85.3,39.6,73.2,112.4,65.6,542.8
25,97,Univ of South Florida,,64.3,70.7,80,88.1,53.1,90.4,70.8,,517.3
26,110,Univ of Illinois - Chicago,,63.3,44.4,60,74.8,43.2,42.1,126.8,54.5,509.1
27,140,Texas A&M Univ - College Station,,48.3,38.7,80,76.7,55.3,117.1,12,80.4,508.4
28,22,South Dakota School of Mines & Tech,,50.8,55.7,80,55.5,24.9,58.6,97.4,77.3,500.2
29,36,North Carolina State Univ - Raleigh,,76.0,47.9,111,92.6,49.6,105.4,16,,498.5
30,35,California Baptist University,,65.6,33.4,60,67.6,43.7,66.8,61.6,92.9,491.7
31,61,Kennesaw State University,,88.7,56.1,60,91.1,48.7,71.7,10,55.3,481.4
32,114,Saginaw Valley State Univ,,39.6,45.4,35,78.6,35.1,51.0,128.3,52.3,465.2
33,74,Univ of Southern California,,71.7,58.6,102,30.0,25.9,73.9,45,55.7,463.1
34,44,Univ of Waterloo,,76.3,58.8,116,38.0,57.1,104.4,10,,460.5
35,43,Univ of Calgary,,78.3,70.4,100,58.6,36.9,106.4,10,,460.5
36,96,Univ of British Columbia - Okanagan,,47.5,44.9,80,64.0,46.8,65.7,49,62.5,460.1
37,134,Univ of Minnesota - Twin Cities,,61.8,57.8,100,79.3,28.5,121.5,6,,454.8
38,20,Clarkson University,,29.1,53.4,80,61.1,28.3,,143.0,58.9,453.8
39,56,Clemson Univ,,55.9,44.4,100,66.2,33.4,83.4,14,50.7,447.9
40,162,CEFET-MG,,81.6,70.5,100,57.1,44.7,72.9,10,,436.9
41,81,California State Poly Univ - Pomona,,57.0,46.8,80,81.7,42.1,114.9,6,,428.5
42,127,Univ of Virginia,,57.2,43.8,60,65.4,3.5,34.4,73.4,86.4,424.0
43,58,Drexel Univ,,64.1,35.8,80,58.4,29.4,67.2,10,78.2,423.1
44,51,Minnesota State University - Mankato,,71.3,51.2,80,92.2,37.0,65.8,25,,422.6
45,13,Univ of Kansas - Lawrence,,59.0,47.3,90,79.4,34.5,97.4,10,,417.7
46,122,Univ of Texas - Austin,,71.3,58.1,100,29.0,3.5,33.9,51.1,69.0,415.9
47,86,Villanova Univ,,57.1,54.5,80,76.6,40.7,94.5,10,,413.3
48,101,Arizona State Univ - Tempe,,70.7,67.2,80,51.0,42.0,80.1,10,,400.9
49,92,Univ of Ottawa,,47.6,28.3,60,59.3,4.6,61.6,133.4,,394.8
50,27,California State Univ - Fullerton,,5.0,48.3,80,62.6,9.9,6.5,86.7,90.9,390.0
51,137,Iowa State Univ,,33.5,53.7,80,84.3,32.8,94.8,4,,383.2
52,45,Lawrence Technological Univ,,39.0,30.1,60,70.9,19.4,77.4,38,41.7,376.2
53,141,Univ of Kentucky,,82.8,57.0,60,64.6,21.7,78.8,6,,370.9
54,73,Carleton Univ,,67.1,51.9,80,35.2,47.5,81.3,6,,369.0
55,57,Univ of Pittsburgh - Pittsburgh,,74.1,44.1,80,60.5,10.9,89.1,6,,364.8
56,121,Univ of Wisconsin - Madison,,65.7,40.3,100,69.4,10.9,72.6,,,358.9
57,89,Mississippi State Univ,,70.3,44.1,80,45.1,34.1,76.0,8,,357.6
