Place,CarNum,Team,AdjustedCost,PriceScore,AuditCost,ReportScore,FeasibilityContent,CaseVisual,Penalty,Score
82,79,Univ of North Carolina - Charlotte,"$14,122",10.43,,17.9,20,11,,59.37
83,81,Lakehead Univ,"$14,363",9.99,,14.2,20,15,,59.19
84,62,North Carolina State Univ - Raleigh,"$11,827",15.6,-6,12.6,20,17,,59.15
85,58,Univ of British Columbia,"$20,798",1.89,,17.1,20,20,,59.01
86,48,Georgia Institute of Technology,"$15,242",8.48,,10.5,20,20,,58.97
87,126,Univ of Nebraska - Lincoln,"$14,141",10.4,,12.6,20,16,,58.95
88,134,California State Univ - Fullerton,"$18,529",4.1,,19.2,20,15,,58.28
89,55,Western University,"$17,069",5.84,,12.1,20,20,,57.98
90,74,Columbia Univ,"$16,018",7.28,,15.5,20,15,,57.75
91,2,Oregon State Univ,"$20,236",2.39,,15,20,20,,57.42
92,94,Ferris State University,"$11,756",15.79,-8,14.6,20,15,,57.4
93,77,Univ of Michigan - Dearborn,"$16,030",7.27,,10.1,20,20,,57.34
94,91,Univ of North Florida,"$16,353",6.8,,14.2,20,16,,57.03
95,114,Bialystok University of Technology,"$22,912",0.22,,16.7,20,20,,56.93
96,82,Minnesota State University - Mankato,"$16,164",7.07,,13.8,20,16,,56.86
97,60,US Naval Academy,"$18,829",3.78,,17.9,20,15,,56.72
98,127,Univ of Kansas - Lawrence,"$17,632",5.14,,14.2,20,17,,56.34
99,45,Univ of Maryland - College Park,"$15,961",7.37,,12.6,20,16,,55.92
100,98,Purdue Univ - W Lafayette,"$16,560",6.52,,14.2,20,15,,55.72
101,109,AGH Univ of Science and Technology,"$22,132",0.8,,13.4,20,20,,54.18
102,121,The Ohio State University,"$19,964",2.65,,11.3,20,20,,53.96
103,132,Universidad Nacional Autónoma de México,"$18,377",4.27,,14.6,20,15,,53.91
104,15,Univ of Evansville,"$20,536",2.12,,11.7,20,20,,53.85
105,9,Rochester Institute of Technology,"$23,231",,,13.8,20,20,,53.81
106,47,Lawrence Technological Univ,"$13,773",11.11,,17.9,20,14,-10,53.05
107,97,Dalhousie Univ,"$12,376",14.19,-12,14.2,20,15,,51.39
108,87,Washington State Univ,"$13,593",11.47,,13.8,20,15,-10,50.26
109,83,Univ of New Hampshire,"$22,105",0.82,,16.1,20,11,,47.94
110,68,Florida Inst of Tech,"$11,938",15.3,-6,11.3,20,17,-10,47.62
111,29,York College of Pennsylvania,"$11,755",15.79,-5,3.5,17,15,,46.27
112,32,Grand Valley State Univ,"$10,539",19.48,-30,13,13,12,,27.44
113,66,Florida Atlantic Univ,"$14,529",9.69,,11.7,20,20,-80,-18.59
114,118,Alabama A & M Univ,"$21,360",1.42,,3.2,20,15,-80,-40.43
,23,Old Dominion Univ,,,,,,,,
,44,Clemson Univ,,,,,,,,
,93,Kansas State Univ,,,,,,,,
,123,Univ of Minnesota-Duluth,,,,,,,,
