Place,CarNum,Team,Score
1,38,National Univ of Singapore,75
2,123,Florida Atlantic Univ,72.9
3,62,Ohio State Univ,71.1
4,13,Univ of Wisconsin - Madison,70.4
5,9,Univ of Florida,70.0
6,21,Univ of Illinois - Urbana Champaign,69.5
7,126,Cornell Univ,67.3
8,50,Missouri University of Science and Tech,66.0
9,45,Tennessee Tech Univ,65.7
10,46,McGill Univ,65.5
11,96,Penn State Univ - University Park,63.7
12,73,Saginaw Valley State Univ,63.5
13,110,Virginia Tech,63.4
14,16,Graz Technical Univ,63.2
15,59,Univ of Minnesota - Twin Cities,63.0
16,53,Kookmin Univ,62.7
17,125,Purdue Univ - W Lafayette,62.7
18,72,Univ of Michigan - Dearborn,62.1
19,95,Wayne State Univ,61.7
20,47,Univ of South Florida,61.4
21,5,Univ of Akron,61.0
22,120,Univ of Maryland - College Park,60.8
23,129,Univ of Texas - Arlington,60.4
24,11,Universidade Estadual de Campinas,60.4
25,1,Oregon State Univ,60.2
26,15,Kettering Univ,60.2
27,61,Rutgers Univ,59.9
28,18,San Jose State University,59.9
29,58,Polytechnique Montréal,59.7
30,85,Villanova Univ,59.3
31,114,Michigan Tech Univ,59.1
32,19,Ecole De Technologie Superieure,58.4
33,30,Univ of Missouri,57.9
34,127,Univ of Manitoba,56.7
35,20,Worcester Polytechnic Inst,56.2
36,14,Univ of Kansas - Lawrence,56.1
37,12,Michigan State Univ,55.2
38,49,Univ of Toronto,55.1
39,7,Auburn Univ,55.1
40,68,Lakehead Univ,54.9
41,64,Univ of Alabama - Tuscaloosa,54.6
42,119,Univ of Victoria,53.4
43,122,Indiana Univ Purdue Univ Indianapolis,52.9
44,103,Northwestern Univ,52.1
45,109,Univ of Oklahoma,51.5
46,51,Univ of Cincinnati,51.3
47,115,Rochester Institute of Technology,50.3
48,101,Wroclaw University of Technology,49.8
49,94,Oklahoma State Univ,49.7
50,81,Universidad Simon Bolivar,49.7
51,86,Cooper Union,49.6
52,23,Ferris State University,49.1
53,83,Oakland University,48.9
54,117,Western University,48.7
55,102,Florida Inst of Tech,48.2
56,32,Rose Hulman Inst of Tech,48.1
57,27,Louisiana State Univ,48.1
58,84,Grand Valley State Univ,47.9
59,26,Georgia Southern Univ,47.8
59,134,Mississippi State Univ,47.8
61,71,Univ of Pittsburgh - Pittsburgh,47.8
62,52,Colorado Mesa University,46.9
63,63,Duke Univ,46.3
64,56,Central Michigan Univ,46.1
65,33,West Virginia Univ,46.0
66,88,Dalhousie Univ,46.0
67,55,Universidad Central de Venezuela,45.4
68,60,Univ of Illinois - Chicago,45.2
69,78,Universite Du Quebec-Chicoutimi,45.2
70,111,Universidad Autonoma Estado Mexico,45.1
71,48,Washington Univ - St Louis,45.1
72,29,Lehigh Univ,43.8
73,70,Kennesaw State University,43.7
74,44,Western Michigan Univ,43.4
75,17,Univ of Toledo,42.3
76,24,Brown Univ,42.3
77,77,Cegep du Vieux - Montreal,42.2
78,8,Univ of Michigan - Ann Arbor,41.6
79,25,Georgia Institute of Technology,41.3
80,22,US Naval Academy,40.6
81,36,Univ of North Florida,39.8
82,57,Texas Tech Univ,38.8
83,82,Clemson Univ,38.4
84,116,Universidad Metropolitana,38.3
85,66,North Carolina State Univ - Raleigh,37.5
86,67,Queen's Univ - Ontario Canada,37.4
87,99,York College of Pa,35.9
88,76,Universite Du Quebec a Trois-Rivieres,34.9
89,40,Univ of Central Florida,34.1
90,42,Florida International Univ,34.0
91,43,Columbia Univ,33.5
92,69,Univ of Waterloo,32.3
93,93,Univ of St Thomas,32.3
94,31,Bradley Univ,30.6
95,121,Lawrence Technological Univ,30.3
96,37,Univ of Connecticut,29.9
97,106,South Dakota State Univ,28.2
98,41,Old Dominion Univ,27.1
99,74,North Dakota State Univ,24.5
100,65,Minnesota State University - Mankato,22.4
101,54,Univ of Evansville,22.0
102,107,Univ of Utah,21.2
103,104,Washington State Univ,15.8
104,90,Univ of North Carolina - Charlotte,15.4
105,35,Southern Illinois Univ - Edwardville,14.3
106,100,Northern Illinois Univ,6.7
107,79,St Cloud State Univ,5.3
,34,Lafayette College,
,39,Univ of Kentucky,
,80,Kansas State Univ,
,87,Stevens Inst of Tech,
,91,Univ of New Hampshire,
,92,Clarkson University,
,97,Univ of Guelph,
,98,Embry-Riddle Aero Univ - Daytona Beach,
,105,Univ of Hartford,
,112,Hope College,
,113,Temple Univ,
